"","BL","V04","V06","V08","V10"
"BANK1",0.112004490345757,0.0498494444444444,0.001987766554433,0.205765277777778,-0.253320064205458
"BCL2L11",-0.0415430175123483,-0.0458730555555555,-0.081352300785634,-0.0863743055555557,-0.0705325842696629
"BCR",0.0401628648405928,0.0676297222222222,-0.0513790123456791,-0.0712999999999999,0.151078812199037
"BID",0.954911719802424,0.458849722222222,0.498062962962963,0.476272222222222,1.29791059390048
"BSG",0.267015819964349,0.0221034722222223,0.0806584257206209,0.0127983451536643,0.0836431818181819
"BTN2A1",-0.0546512162759845,-0.141448295454546,0.116158823529411,-0.241227777777778,-0.237491522988505
"BTN3A2",0.077085092052088,-0.158065138888889,0.0868906846240178,-0.260808333333333,0.0617531300160514
"C1QA",0.141013725490196,-0.0987969444444445,-0.0654687361419066,-0.142779196217494,-0.0776409090909089
"CASP2",-0.0253418051189941,0.0641454166666666,-0.0590395061728395,0.0724374999999999,0.0399420545746388
"CCL11",-0.0585977272727272,-0.0941331944444448,-0.0245245011086475,-0.179719385342789,-0.152378409090908
"CCL13",0.486375846702318,-0.397050555555555,0.777021507760534,1.50818368794326,0.289773863636364
"CCL17",0.111697390535161,-0.0840607954545449,0.330255032679738,0.268967171717172,0.208993247126437
"CCL20",0.149766666666666,0.11072875,0.222287139689579,-0.255745153664303,0.166404545454545
"CCL21",0.016065811587793,0.0646693181818181,0.209960522875817,0.0764045454545454,0.0232064655172413
"CCL22",0.637238080495356,0.340927840909091,0.639952941176471,0.300455808080808,0.838723132183907
"CCL23",0.228658956214065,0.103864772727273,0.277224836601308,-0.00748585858585837,0.200319827586207
"CCL24",0.0794191508182216,-0.183359090909091,-0.0433785620915028,-0.547216919191919,0.00269137931034535
"CCL25",0.0896486185383241,0.142535138888888,-0.0225580931263858,0.262454609929078,0.485384090909091
"CCL26",0.946109339919174,0.525346805555555,0.550939506172839,1.74811736111111,1.07870144462279
"CCL28",0.384613875168388,0.121690277777778,0.218590011223345,0.182195833333333,0.450447993579454
"CCL3",0.536840143691065,0.176045694444444,0.464485409652076,0.388872222222222,0.265886677367576
"CCL4",0.310521892967713,0.142089204545455,0.563456732026144,0.0606181818181818,-0.0272775862068966
"CCL7",-0.14815240233498,-0.0691225,-0.163799887766555,-0.0284777777777778,-0.244913001605137
"CCN2",0.145362936753649,-0.027972159090909,0.221935947712418,-0.0878777777777779,0.101255890804598
"CD160",0.108344117647059,-0.218154444444445,0.210031818181818,-0.098348936170213,0.253172727272728
"CD200",0.17446623259991,0.00485194444444481,0.0427753086419758,-0.00841250000000038,-0.00994943820224758
"CD200R1",0.279165783565334,0.198280972222222,-0.033601571268238,0.070768055555555,-0.0752242375601924
"CD22",0.212488368983958,-0.147099583333334,0.320983481152993,0.281214420803782,-0.139548863636364
"CD244",-0.0245549465240638,-0.274097638888889,-0.12580598669623,-0.123191962174941,0.0457147727272726
"CD276",0.0670339672711191,-0.0826937499999998,0.249765751633987,-0.159833333333333,-0.220132327586207
"CD4",-0.226649842837898,-0.194446388888889,-0.140572839506173,-0.267899305555555,-0.324162760834671
"CD40",0.0188319327731092,-0.108476704545454,0.116440261437909,-0.155018181818182,-0.221523275862069
"CD40LG",-0.167963458110517,-0.173011666666667,-0.00805698447893599,-0.0328479905437353,-0.203977272727272
"CD48",-0.153946262715613,-0.285580113636364,-0.0304937254901962,-0.163874494949495,-0.253244971264368
"CD58",0.0408162759840779,-0.129651136363636,0.193726274509804,-0.132733080808081,-0.172095833333333
"CD6",0.128391978609626,0.20720486111111,-0.0995972283813753,0.247663120567376,-0.076439772727273
"CD70",-0.306577503367759,-0.0542268055555555,-0.110047025813693,-0.104897916666667,-0.216278812199037
"CD79B",0.118373930481283,0.0326916666666666,0.136110753880266,0.110873995271867,-0.00198295454545505
"CD83",0.297920341266277,0.0378924999999999,0.14212278338945,0.0141930555555558,0.170789406099519
"CD84",0.094271351594073,-0.193521527777778,-0.104432547699215,-0.0954993055555553,0.109258266452648
"CDON",0.392306943830164,0.1273375,0.280126274509804,-0.109599242424243,0.156360201149425
"CDSN",0.0366738859180038,0.0458243055555556,-0.310064523281597,0.0827815602836877,-0.191971590909091
