"","BL","V04","V06","V08","V10"
"EPCAM",-0.100298099979679,0.0938363636363637,-0.376666946778711,-0.52717,-0.512343207941484
"EPHA1",-0.134813513513514,0.352013636363637,-0.33775,-0.421861666666667,-0.565351149425287
"EPO",0.117841810250818,0.0642101587301589,0.0802267056530215,0.29130119047619,0.107888959452858
"ERBB3",-0.17193310302784,0.0262295454545458,-0.253245294117647,-0.55956803030303,-0.462701044932079
"ESM1",-0.446081009957326,0.079215909090909,-0.577095294117647,-1.05024666666667,-1.12370052246604
"F2R",-0.13202102214997,0.0928931818181817,-0.119810980392157,-0.348625,-0.398734064785789
"FABP1",0.0517865576102423,0.476797727272727,-0.438565630252101,-0.725314545454546,-0.545825444096133
"FABP9",0.0911835332606326,-0.0172380952380955,0.0188691682910984,0.138134821428571,0.0788082071323886
"FASLG",-0.244762076648841,-0.0537456038647344,-0.397029863868406,-0.538339760638298,-0.60388418972332
"FCAR",-0.43878491821156,-0.139378095238095,-0.42343853151397,-0.614730357142857,-0.477938251099169
"FCRL2",0.0525737967914441,-0.0208087922705316,0.152874957458876,0.233359574468086,0.255776778656126
"FCRL3",0.249398184121622,0.164456818181818,0.21105,0.396923913043478,0.519451293103448
"FCRL6",0.148008625954199,0.0669796825396825,-0.0438646848602988,0.108014285714286,0.241703126526624
"FGF19",-0.178438965657387,0.363831818181818,-0.408037759103641,-0.675530303030303,-0.773126907001045
"FGF2",0.0328249945474373,-0.0135907936507937,0.016132196231319,0.0436806547619048,0.0946636541279922
"FGF5",-0.197498754222973,0.194029545454546,-0.383332859078591,-0.928937771739131,-0.655420402298851
"FIS1",-0.0831400223531803,0.275979545454546,-0.282889383753501,-0.702962121212121,-0.389677063740857
"FKBP1B",0.135749732620321,0.0742517874396134,0.199261287577992,0.369635505319149,0.379190612648221
"FLT3LG",-0.0949831996434938,-0.0431453140096618,-0.219662648893931,-0.35841954787234,-0.0968411561264822
"FOXO1",-0.19010627044711,-0.020515238095238,-0.190363807667316,-0.157073214285714,-0.340167757694187
"FST",-0.152820453159927,0.00498636363636362,-0.274701428571428,-0.428656212121212,-0.280476332288401
"FSTL3",-0.167725624872993,0.106847727272728,-0.26927893557423,-0.446331666666667,-0.580840752351097
"FXYD5",-0.0719706714527027,0.0043909090909091,-0.0778367886178862,-0.0236380434782608,-0.0348308908045977
"GAL",-0.321183956512904,0.101556818181818,-0.543768403361344,-0.794451363636363,-0.864275287356322
"GALNT3",-0.0442112331081081,0.0272704545454545,-0.263557249322493,-0.453082880434783,0.0312693965517241
"GBP2",-0.0263714315878376,0.128677272727273,0.172341734417344,0.102946739130435,0.186587356321839
"GLOD4",-0.139300802682381,0.016815909090909,-0.199722521008403,-0.462787121212121,-0.394162382445141
"GMPR",-0.164666488413547,-0.0883506280193236,-0.14011732841747,-0.21621210106383,-0.296142391304348
"GOPC",-0.115867022900763,0.0777253968253968,-0.084664424951267,-0.25097619047619,-0.428942208109428
"GZMA",-0.21127794117647,-0.0998470531400966,-0.307985933068633,-0.31362579787234,-0.528605088932806
"GZMB",-0.369716335877863,-0.0733761904761909,-0.412326543209876,-0.334480654761905,-0.229376746458231
"HCLS1",-0.46365316399287,-0.385489758454106,-0.938239449801475,-0.910443085106382,-1.29063078063241
"HEXIM1",-0.0769642966194113,0.106725714285714,-0.0517596816114358,-0.00425982142857162,-0.00336038104543235
"HGF",-0.291532843137255,-0.00557826086956514,-0.490338372093023,-0.928615159574468,-0.650395158102767
"HLA-DRA",-0.36649479825518,-0.21046253968254,-0.351020012995452,-0.465118452380952,-0.605395994137763
"HLA-E",-0.0802712322791712,0.0832574603174603,-0.196762313190383,-0.207579166666667,-0.190312310698583
"HPCAL1",-0.244297994652407,-0.0486463768115941,-0.54743644356211,-0.738573404255319,-0.725374901185771
"HSD11B1",-0.0932447982551805,-0.0215612698412695,-0.146804710851202,-0.176834226190476,0.0814208597948216
"HSPA1A",-0.197474293842715,-0.002525,-0.292191260504202,-0.603663939393939,-0.430094461859979
"ICA1",-0.117659480574324,-0.125370454545455,-0.0777615176151762,-0.059933152173913,-0.229981465517241
"ICAM4",-0.127341155943293,-0.0499847619047618,-0.199249577647823,-0.206058928571429,-0.0496714704445536
"IDS",-0.0651077540106951,0.0259288888888888,-0.0900366988088486,-0.169630585106383,-0.148977519762846
"IFNG",0.364689421452703,0.282968181818182,0.131142073170731,0.55376847826087,0.417152155172414
"IFNGR1",0.0134026010973378,0.115845454545454,0.0164493837535011,-0.20814606060606,-0.0470597178683385
"IFNLR1",-0.163023740458015,0.307713968253968,-0.212309681611436,-0.55827380952381,-0.395696384953591
"IKBKG",-0.21128705561614,0.0385019047619046,-0.293554028589993,-0.480492857142857,-0.396780019540791
"IL10",1.59081938344594,-0.240552272727272,1.74717344173442,3.23267173913043,4.1417724137931
"IL10RA",0.0906356418918919,-0.128590909090909,0.0254600948509485,0.164861684782609,0.17983433908046
"IL10RB",-0.127625157488315,0.166218181818182,-0.246603389355742,-0.28862303030303,-0.369640700104493
"IL11",-0.0467144214527027,-0.165068181818182,0.0411002032520325,0.000894293478260866,0.187063936781609
"IL12B",-0.0340304812834225,-0.00394821256038647,-0.242951815087918,-0.200796276595744,-0.271894169960475
"IL12RB1",-0.160991554054054,0.208968181818182,-0.121217276422764,-0.163135869565217,-0.0375561781609195
"IL13",-0.19766171875,-0.136802272727273,-0.151966734417344,-0.48125027173913,-0.434097701149425
