"","BL","V04","V06","V08","V10"
"CRLF1",-0.0246387057387057,-0.0781396103896104,-0.0156873170731707,0.147061538461538,0.138022222222222
"CSF1",0.0267346764346764,-0.0677190476190476,-0.0909107317073171,0.0564261538461538,0.188090972222222
"CSF3",0.285627817047817,0.10482619047619,0.0666763066202091,0.0705318681318682,0.528544444444444
"CST7",0.389161660561661,0.0836556277056277,0.0580681300813007,0.505276923076923,0.681792361111111
"CTRC",-0.0626985347985347,-0.612761255411255,-0.281609268292683,-0.259267692307692,-0.147802777777778
"CTSC",0.122549694749695,-0.00414372294372292,0.251374796747967,0.357537948717949,0.101272916666667
"CTSO",0.203304600301659,0.0540201298701299,0.120584390243902,0.190299047619048,0.327023529411765
"CXADR",-0.107233295063146,-0.245651731601732,0.165621929824561,0.0915285714285714,0.141425735294118
"CXCL1",0.0187852258852259,-0.557696103896104,-0.034881788617886,0.322179487179487,0.525690972222222
"CXCL10",0.278932234432234,-0.0116175324675325,0.196403577235772,0.387815384615385,0.747311805555556
"CXCL12",-0.0127983367983369,0.00298357142857131,-0.119347212543554,0.277720879120879,0.175265277777778
"CXCL14",-0.509520207900208,-0.147921666666667,-0.636465156794425,-0.658600549450549,-1.02778194444444
"CXCL17",-0.311262594268477,-0.0934757575757577,-0.241901951219512,-0.174954761904762,-0.0519911764705883
"CXCL3",0.521564713064713,-0.258200432900433,0.136366829268292,0.644577435897436,1.48146527777778
"CXCL6",0.52703604826546,0.03833658008658,0.0206239024390242,0.778398571428571,1.49008014705882
"CXCL8",-0.180264705882353,-0.117611038961039,-0.454107804878049,-0.343929047619048,-0.74624375
"CXCL9",-0.323365567765568,-0.287687445887446,-0.476025203252032,-0.230384615384615,-0.468638888888889
"DAG1",-0.0729711843711844,-0.127095454545455,0.107974959349594,0.181606153846154,0.00557499999999989
"DAPP1",-0.212851626482969,-0.828456277056277,0.0275407017543863,-0.0231785714285708,0.621925
"DBNL",0.262231623931624,-0.506901731601732,0.760098211382114,0.84095641025641,1.11619097222222
"DECR1",-0.228434978951397,-0.524774675324675,0.0194471929824562,-0.395128571428571,-0.739786029411765
"DFFA",0.17653141025641,-0.11025303030303,0.200294471544715,0.514137619047619,0.413247058823529
"DGKZ",-0.21605051975052,-0.187055714285714,-0.0533881533101045,0.170223626373626,-0.383436111111111
"DNAJA2",0.16281919306184,-0.596842424242424,0.509692520325203,0.630519047619047,0.800725
"DNER",0.0873648351648352,0.0733311688311688,-0.0378630894308943,0.38413282051282,0.345834027777778
"DNPH1",0.0703551892551892,0.00970238095238085,0.025929268292683,0.632333846153846,0.377758333333333
"DPP10",-0.12966846536548,-0.122535281385281,0.0129466666666667,0.326414285714286,0.279451838235294
"EDAR",-0.256715882127823,-0.41425303030303,-0.331724912280702,-0.417135714285714,-0.266359926470588
"EGF",0.478964224664225,-0.466677489177489,0.51704243902439,0.792214358974359,0.941501388888889
"EGLN1",0.207986796785304,0.0933458874458875,0.146206315789474,0.535507142857143,0.498010294117647
"EIF4G1",0.116265158371041,-0.848788744588744,0.572019024390244,0.679558095238095,0.427514705882353
"EIF5A",-0.0206452390852391,0.09261,0.102007317073171,0.0410439560439561,-0.0852597222222222
"ENAH",-0.212751808731809,-0.0761869047619048,-0.212881358885017,-0.316562637362637,-0.573560416666667
"ENPP5",-0.416216483516483,-0.176836363636364,-0.413575284552846,-0.288057948717949,-0.593523611111111
"ENPP7",-0.226958485958486,-0.182548701298701,-0.272495609756098,0.102593333333333,-0.28139375
"EPCAM",-0.390767155067155,-0.491661038961039,-0.0741417886178863,0.188023076923077,-0.117953472222222
"EPHA1",-0.19746862026862,-0.123894805194805,-0.184328617886179,-0.258194358974359,-0.416461111111111
"EPO",0.0506214313050134,-0.19379632034632,0.24224701754386,-0.0589142857142857,-0.513181985294118
"ERBB3",0.0584227106227106,0.0543437229437229,0.13884162601626,0.223912820512821,0.160147222222222
"ESM1",0.203798534798535,0.067807142857143,0.0701056910569104,0.323775897435897,0.702390277777778
"F2R",-0.181032112332112,-0.165475324675325,0.0300112195121953,-0.00317846153846135,-0.296028472222222
"FABP1",-0.608105616605617,-0.49730974025974,-0.304208130081301,0.395714358974359,-0.725782638888889
"FABP9",-0.153048450057405,-0.469162987012987,-0.276281228070175,0.0259071428571428,0.600986764705882
